药品分类,商品名称,包装规格,生产厂家,批准文号,采购价,折扣价,销量
西药,复方氨酚烷胺颗粒,8袋 / 大包装：100 盒                    ,葵花药业集团（衡水）得菲尔有限公司,国药准字H20067258,￥8.40/盒,￥7.72,1332
西药,复方利血平氨苯蝶啶片【北京降压0号】,10S / 大包装：200 盒                    ,华润双鹤药业股份有限公司,国药准字H11022335,￥13.30/盒,￥12.23,127257
西药,硝苯地平缓释片(I),10mg*45片 / 大包装：300 盒                    ,国药集团广东环球制药有限公司,国药准字H44024160,￥14.20/盒,￥13.06,56613
西药,氨咖黄敏胶囊,12粒/盒 / 大包装：600 盒                    ,广州白云山光华制药股份有限公司,国药准字H44024290,￥5.05/盒,￥4.64,579180
西药,复方醋酸地塞米松乳膏,20克/支 / 大包装：300 支                    ,华润三九医药股份有限公司,国药准字H44024170,￥8.48/支,￥7.80,425810
西药,心可舒片,0.31g*96片 / 大包装：240 盒                    ,山东沃华医药科技股份有限公司,国药准字Z37020042,￥41.00/盒,￥37.72,49
西药,硫酸沙丁胺醇气雾剂,200揿：0.10mg / 大包装：160 瓶                    ,上海上药信谊药厂有限公司,国药准字H20153141,￥26.00/瓶,￥23.92,27
西药,多巴丝肼片【美多芭】,250mg*40片 / 大包装：100 盒                    ,上海罗氏制药有限公司,国药准字H10930198,￥85.80/盒,￥78.93,8557
西药,阿达帕林凝胶,15g/支                    ,黑龙江福和华星制药集团股份有限公司,国药准字H20056871,￥13.00/支,￥11.96,640
西药,阿莫西林胶囊,0.25g*36粒 / 大包装：300 盒                    ,四川峨嵋山药业有限公司,国药准字H51020515,￥7.80/盒,￥7.17,133
西药,苯磺酸氨氯地平片,5mg*28片 / 大包装：300 盒                    ,宁波大红鹰药业股份有限公司,国药准字H20020161,￥5.50/盒,￥5.06,5583
西药,小儿氨酚黄那敏颗粒,6克*10袋（999） / 大包装：120 盒                    ,华润三九(北京)药业有限公司,国药准字H11022051,￥7.80/盒,￥7.17,269251
西药,缬沙坦分散片,80mg*7片 / 大包装：300 盒                    ,哈尔滨三联药业股份有限公司,国药准字H20061058,￥8.30/盒,￥7.63,1645
西药,葡萄糖酸钙锌口服溶液,10ml*12支 / 大包装：120 盒                    ,澳诺(中国)制药有限公司,国药准字H20013241,￥17.90/盒,￥16.46,26880
西药,苯磺酸氨氯地平片,5mg*15片 / 大包装：300 盒                    ,宁波大红鹰药业股份有限公司,国药准字H20020161,￥4.50/盒,￥4.14,1572
西药,奥沙普秦分散片,0.2g*6片/板*2板 / 大包装：400 盒                    ,辽宁富东制药有限公司,国药准字H20031175,￥7.80/盒,￥7.17,542
西药,生理性海水鼻腔护理喷雾器,50ml/瓶（儿童装） / 大包装：60 瓶                    ,江苏爱朋医疗科技股份有限公司,苏食药监械生产许20010280号,￥33.50/瓶,￥30.82,1129
西药,氯雷他定糖浆,60ml:60mg / 大包装：200 瓶                    ,万特制药(海南)有限公司,国药准字H20070001,￥7.50/瓶,￥6.90,11600
西药,酒石酸美托洛尔片,50mg*12片*2板 / 大包装：400 盒                    ,烟台巨先药业有限公司,国药准字H37022364,￥5.50/盒,￥5.06,3320
西药,头孢克肟分散片,0.1g*9片 / 大包装：480 盒                    ,广东先强药业有限公司,国药准字H20051663,￥5.80/盒,￥5.33,11689
西药,硝苯地平缓释片(Ⅱ),20mg*24片 / 大包装：300 盒                    ,浙江为康制药有限公司,国药准字H20113193,￥9.50/盒,￥8.74,1851
