一级分类,二级分类,药品名,产品规格,生产厂家,零售参考价,采购价
肿瘤科,"
肺癌","
阿那曲唑片",1mg*14片/盒,浙江万晟药业有限公司,117.00,￥70.00
肿瘤科,"
肺癌","
甘露聚糖肽胶囊",5mg*24粒/盒,四川奥邦药业有限公司,52.00,￥31.40
肿瘤科,"
肺癌","
转移因子胶囊",3mg：100ug*12粒/盒,南京瑞尔医药有限公司,12.00,￥7.00
肿瘤科,"
肺癌","
恩替卡韦分散片",0.5mg*7片/盒,山东鲁抗医药股份有限公司,55.00,￥33.00
肿瘤科,"
肺癌","
清肺散结丸",3g*6瓶/盒,海南龙圣堂制药有限公司,767.00,￥460.00
肿瘤科,"
肺癌","
香菇菌多糖片",10mg*18片/瓶/盒,湖北广仁药业有限公司,15.00,￥9.20
肿瘤科,"
肺癌","
二十五味肺病丸",0.5g*6丸/板*3板/盒,甘南佛阁藏药有限公司,33.00,￥20.00
肿瘤科,"
肺癌","
奥卡西平片",0.3g*20片/盒,武汉人福药业有限责任公司,60.00,￥36.00
肿瘤科,"
肺癌","
二十五味肺病丸",6丸/板*2板/盒,西藏神猴药业有限责任公司 ,42.00,￥25.00
肿瘤科,"
肺癌","
苯甲酸利扎曲普坦片",5mg*3片/盒,湖北欧立制药有限公司,87.00,￥52.00
肿瘤科,"
肺癌","
盐酸舍曲林片",50mg*14片/盒,万特制药(海南)有限公司,19.00,￥11.30
肿瘤科,"
肺癌","
盐酸多奈哌齐片",5mg*7片/盒,重庆植恩药业有限公司,37.00,￥21.90
肿瘤科,"
肺癌","
回生口服液",10ml*10支/盒,成都地奥集团天府药业股份有限公司,133.00,￥80.00
肿瘤科,"
肺癌","
奥拉西坦注射液",5ml：1.0g*6支/盒,朗天药业（湖北）有限公司,30.00,￥18.00
肿瘤科,"
肺癌","
叶下珠片",0.3g*18片/板*3板/盒,大理白族自治州中药制药有限公司,53.00,￥32.00
肿瘤科,"
肺癌","
氢溴酸西酞普兰片",20mg*12片/盒,江苏恩华药业股份有限公司,35.00,￥21.00
肿瘤科,"
肺癌","
紫杉醇注射液",5ml:30mg*1支/盒,海口奇力制药股份有限公司,75.00,￥45.00
肿瘤科,"
肺癌","
醋酸甲地孕酮分散片",160mg*10片/盒,青岛国海生物制药有限公司,90.00,￥54.00
肿瘤科,"
肺癌","
依托泊苷胶囊",25mg×40粒/盒,"日本化药株式会社
",1250.00,￥750.00
肿瘤科,"
肺癌","
鸦胆子油软胶囊",0.53g*12粒/板*2板/盒,华润三九(南昌)药业有限公司,58.00,￥35.00
肿瘤科,"
肺癌","
多烯磷脂酰胆碱胶囊",228mg*12粒/板*3板/盒,赛诺菲(北京)制药有限公司,90.00,￥54.00
肿瘤科,"
肺癌","
消癌平片",0.3g*72片/盒,四川国康药业有限公司,22.00,￥13.40
肿瘤科,"
肺癌","
化癥回生口服液",10ml/支*6支/盒,哈药慈航制药股份有限公司,239.00,￥143.50
肿瘤科,"
肺癌","
升血小板胶囊",0.45g*24片/盒,陕西郝其军制药股份有限公司 ,78.00,￥50.00
肿瘤科,"
肺癌","
贞芪扶正颗粒",15g*10袋/盒,湖南时代阳光药业股份有限公司,14.00,￥8.40
肿瘤科,"
肺癌","
胸腺肽肠溶胶囊",5mg*24片/盒,上海宝龙药业有限公司,56.00,￥33.60
肿瘤科,"
肺癌","
单唾液酸四己糖神经节苷脂钠注射液",2ml:20mg/支*5支/盒,齐鲁制药有限公司,83.00,￥50.00
肿瘤科,"
肺癌","
贞芪扶正颗粒",15g*8袋（含糖）/盒,修正药业集团股份有限公司,47.00,￥28.00
肿瘤科,"
肺癌","
云芝胞内糖肽胶囊",0.5g*30s/盒,江苏神华药业有限公司,75.00,￥45.00
肿瘤科,"
肺癌","
【冷链】
多西他赛注射液",0.5ml:20mg/盒,深圳万乐药业有限公司,145.00,￥87.00
肿瘤科,"
肺癌","
鹤蟾片",0.25g*36片/盒,吉林省通化振国药业有限公司,83.00,￥50.00
肿瘤科,"
肺癌","
回生口服液",10ml*6支/盒,成都地奥集团天府药业股份有限公司,81.00,￥48.72
肿瘤科,"
肺癌","
鹤蟾片",0.37g*90片/瓶,广州白云山中一药业有限公司,52.00,￥31.00
肿瘤科,"
肺癌","
康莱特软胶囊",0.45g*72粒/瓶(软胶囊),浙江康莱特药业有限公司,342.00,￥205.00
肿瘤科,"
肺癌","
香菇多糖胶囊",0.185g*24粒/盒,湖北创力药业有限公司,155.00,￥90.00
肿瘤科,"
肺癌","
复方红豆杉胶囊",0.3g*12粒/盒,重庆赛诺生物药业股份有限公司,433.00,￥260.00
肿瘤科,"
肺癌","
参一胶囊",10mg*24粒/盒,吉林亚泰制药股份有限公司,283.00,￥170.00
肿瘤科,"
肺癌","
注射用盐酸吉西他滨",0.2g/支*8支/盒,齐鲁制药(海南)有限公司,72.00,￥37.00
肿瘤科,"
肺癌","
鸦胆子油口服乳液",250ml/瓶,沈阳药大雷允上药业有限责任公司,200.00,￥120.00
肿瘤科,"
肺癌","
紫龙金片",0.65g*48片/盒,天津中新药业集团股份有限公司隆顺榕制药厂,253.00,￥152.00
肿瘤科,"
肺癌","
鸦胆子油软胶囊",0.54g*12粒/板*2板/盒,浙江天一堂药业有限公司,140.00,￥84.16
肿瘤科,"
肺癌","
注射用盐酸吉西他滨",0.2g/瓶/盒,湖北一半天制药有限公司,100.00,￥60.00
肿瘤科,"
肺癌","
注射用盐酸吉西他滨",1.0g*1支/盒,齐鲁制药(海南)有限公司,317.00,￥190.00
